[14:3:20][ÊÀ½ç][R_ST]Amouons(9) [V]: kao 
[14:3:30][ÊÀ½ç]DONJIsama(8): Õ¦ÁËÕ¨¸ç
[14:3:44][ÊÀ½ç]DONJIsama(8): ÎÒqÒ»Ğ©
[17:39:20][ÊÀ½ç][ShadowTT]MuineTawny(9): e.e
[17:39:30][ÊÀ½ç]DONJIsama(8): ÕÒÉ½
[17:42:8][ÊÀ½ç]DONJIsama(8): Ã»ÓĞ°¡
[17:42:13][ÊÀ½ç]DONJIsama(8): ÏŞ¸ßÁË
[17:42:54][ÊÀ½ç][ShadowTT]MuineTawny(9): ¾øÁË
[17:43:4][ÊÀ½ç]DONJIsama(8): ÕÒµ½ÁË
[17:44:14][ÊÀ½ç][ShadowTT]MuineTawny(9): TP
[17:44:26][ÊÀ½ç][ShadowTT]MuineTawny(9): Ö¸ÁîÊÇÉ¶
[17:44:34][ÊÀ½ç]DONJIsama(8):  /tpa
[17:44:39][ÊÀ½ç][ShadowTT]MuineTawny(9): É½µÄ
[17:44:42][ÊÀ½ç]DONJIsama(8): Ã»ÓÃ
[17:44:44][ÊÀ½ç]DONJIsama(8): Ã»ÓĞ
[17:44:45][ÊÀ½ç]Gemzf(10): ...
[17:44:46][ÊÀ½ç][ShadowTT]MuineTawny(9): e.e
[17:44:47][ÊÀ½ç][ShadowTT]MuineTawny(9): Ü³
[17:44:49][ÊÀ½ç]Gemzf(10): ÎÒÔÚÌìÉÏ
[17:44:51][ÊÀ½ç][ShadowTT]MuineTawny(9): ÎÒÔÚ¿ª×Å·É»ú
[17:44:53][ÊÀ½ç]DONJIsama(8): ÎÒ×öÒ»¸ö
[17:44:55][ÊÀ½ç]DONJIsama(8): ÎÒÕÒµ½ÁË
[17:44:57][ÊÀ½ç]DONJIsama(8): tpÎÒ¶¼
[17:45:11][ÊÀ½ç]AssoXD(11): Äã´òµã²»¾ÍºÃÁË
[17:45:22][ÊÀ½ç]DONJIsama(8): Òª´òµãÄÜ´òÉÏÎÒ¾Í´òÁË
[17:45:23][ÊÀ½ç]Gemzf(10): ´´¸ö´«ËÍµã°¡
[17:45:32][ÊÀ½ç]DONJIsama(8): ÅÜµ½É½¶¥°¡µÃ
[17:45:45][ÊÀ½ç][ShadowTT]MuineTawny(9): Í¬Òâ°¡
[17:45:55][ÊÀ½ç]AssoXD(11): ´òµãÁË
[17:46:51][ÊÀ½ç][ShadowTT]MuineTawny(9): Õ¦¹Ø±ÕOBJ
[17:46:56][ÊÀ½ç]DONJIsama(8):  /sz
[17:46:57][ÊÀ½ç][ShadowTT]MuineTawny(9): 562
[17:47:2][ÊÀ½ç]AssoXD(11): Ã¨Ã¨×·ÀÏ´óÊåÊÔÊÔ
[17:51:44][ÊÀ½ç]DONJIsama(8): ÔÛ»¹ÊÇ¿ª·ÀÅö×²°É
[17:51:50][ÊÀ½ç][ShadowTT]MuineTawny(9): ÎÒÕâËÙ¶È¸ú²»ÉÏ
[17:51:54][ÊÀ½ç]AssoXD(11): µ«ÊÇ´©Ä£ºÜ¡£¡£
[17:51:56][ÊÀ½ç]DONJIsama(8): ÄÇÎÒÂıµã
[17:51:58][ÊÀ½ç]DONJIsama(8): Á·Ï°¿ª
[17:51:59][ÊÀ½ç]AssoXD(11): ÄÇÈÃÀÏ´óÊå×·Äã°É
[17:52:3][ÊÀ½ç]DONJIsama(8): Â¼ÊÓÆµ²»¿ª
[17:52:4][ÊÀ½ç]AssoXD(11): ¶àÁ·Ï°iÒ»ÏÂ
[17:52:46][ÊÀ½ç]DONJIsama(8): Õ¨¸çºÃ
[17:57:32][ÊÀ½ç][ShadowTT]MuineTawny(9): 20Ö**ÜÍê
[17:57:38][ÊÀ½ç]DONJIsama(8): É¶ÍæÒâ
[17:57:40][ÊÀ½ç][ShadowTT]MuineTawny(9): 20FPSÅÜÍê
[17:57:47][ÊÀ½ç]DONJIsama(8): d
[17:57:56][ÊÀ½ç]DONJIsama(8): ÄÜ²»¿ªµªÆøÂğ
[17:58:11][ÊÀ½ç][ShadowTT]MuineTawny(9): ²»¿ªµÄ»°
[17:58:14][ÊÀ½ç][ShadowTT]MuineTawny(9): Ã»¶¯Á¦
[17:58:20][ÊÀ½ç]AssoXD(11): ¸ÄÒ»ÏÂ¼ÓËÙ
[17:58:33][ÊÀ½ç]DONJIsama(8): ÄãÕâÖ±ÏßÒ»¶Ù×óÓÒÆ¯£¬ÎÒÔÚºóÃæ¶¼¸ú²»ÉÏÄãµÄ¶¯×÷
[17:58:37][ÊÀ½ç]DONJIsama(8): ÔÛÁ©¶¯×÷²»Ò»ÖÂ
[17:59:1][ÊÀ½ç][ShadowTT]MuineTawny(9): 92µÄ¼ÓËÙ
[17:59:11][ÊÀ½ç]DONJIsama(8): ÎÒ6¡¢70
[17:59:15][ÊÀ½ç]DONJIsama(8): ¾ßÌåÍüÁË
[17:59:16][ÊÀ½ç]AssoXD(11): ÎÒ150
[17:59:20][ÊÀ½ç]DONJIsama(8): woc
[17:59:24][ÊÀ½ç]AssoXD(11): ÀÏ´óÊåÄã¹ßĞÔ´óÁË
[17:59:27][ÊÀ½ç]AssoXD(11): ¿Ï¶¨¸ú²»ÉÏ¶¯×÷
[17:59:32][ÊÀ½ç]DONJIsama(8): ÎÒÈ¥¸Ä
[17:59:40][ÊÀ½ç][ShadowTT]MuineTawny(9): ÎÒ¶¯Á¦Ì«µÍÁË
[17:59:42][ÊÀ½ç][ShadowTT]MuineTawny(9): ÎÒÈ¥¸Ä¸Ä
[18:0:26][ÊÀ½ç][R_ST]Amouons(12) [V]: q
[18:1:3][ÊÀ½ç]DONJIsama(8): Çá¿ì¶àÁË
[18:1:22][ÊÀ½ç]DONJIsama(8): ÀÏdÄã²»¿ªµªÆøÔÛÁ©ÊÔÊÔ
[18:1:29][ÊÀ½ç]DONJIsama(8): ÀÏdÄØ
[18:4:57][ÊÀ½ç][ShadowTT]MuineTawny(9): ÌÀÃ×
[18:5:5][ÊÀ½ç]DONJIsama(8): ÀÏdÀ´
[18:5:19][ÊÀ½ç][R_ST]FunnySnake1111(12) [V]: ¸éÄÄÄØÄãÃÇ
[18:5:23][ÊÀ½ç]DONJIsama(8): ·ÀÅö×²¹ØÁË
[18:5:44][ÊÀ½ç]DONJIsama(8): šG
[18:5:47][ÊÀ½ç]DONJIsama(8): Õ¦¹ÜÀ´µÄ
[18:5:49][ÊÀ½ç][ShadowTT]MuineTawny(9):  /SZ
[18:5:54][ÊÀ½ç][ShadowTT]MuineTawny(9): ¸öĞÔ»¯ÉèÖÃ
[18:5:59][ÊÀ½ç]DONJIsama(8): okok
[18:6:2][ÊÀ½ç]DONJIsama(8): À´Ò»°ÑÕæµÄ
[18:8:12][ÊÀ½ç]DONJIsama(8): ping
[18:9:1][ÊÀ½ç][R_ST]FunnySnake1111(12) [V]: ¿áÅÉÌì¿Õ
[18:10:22][ÊÀ½ç]DONJIsama(8): ÀÏd
[18:10:24][ÊÀ½ç]DONJIsama(8): Ğ¡ÊÀ½ç
[18:10:27][ÊÀ½ç][ShadowTT]MuineTawny(9): ºÃ
[18:10:30][ÊÀ½ç]Gemzf(10): ¹ş¹ş
[18:10:31][ÊÀ½ç]DONJIsama(8): À´ÎÒµÄ
[18:10:36][ÆµµÀ-8][ShadowTT]MuineTawny(9):  DF
[18:10:50][ÆµµÀ-8]AssoXD(13): ¸ÉÂï½øĞ¡ÊÀ½çhh
[18:11:18][ÊÀ½ç]Gemzf(10): gtabbs
[18:11:32][ÊÀ½ç]Gemzf(10): GTABBS
[18:11:38][ÆµµÀ-8][ShadowTT]MuineTawny(9): ÎÒ¼¸¸öµç»°
[18:11:43][ÆµµÀ-8]DONJIsama(8): GTAUN
[18:11:58][ÊÀ½ç]Gemzf(10): GTAUN
[18:12:4][ÊÀ½ç]Gemzf(10): IGTA
[18:12:17][ÊÀ½ç]Gemzf(10): BBS
[18:12:22][ÊÀ½ç]Gemzf(10): ÓÎÏÀÍø
[18:12:38][ÊÀ½ç]Gemzf(10): °Ù¶ÈÌù°É
[18:12:50][ÊÀ½ç]Gemzf(10): **
[18:13:15][ÆµµÀ-8][ShadowTT]MuineTawny(9): °ÍÀ­Ë¹
[18:13:25][ÆµµÀ-8][ShadowTT]MuineTawny(9): °ÍÀ­Ë¹°ï
[18:15:46][ÊÀ½ç]DONJIsama(8): ·²¸çÊ¹ÓÃ×ì¶İ¡¢Ï¹¼¸°ÑÃÉÖ®Êõ
[18:15:50][ÆµµÀ-8][ShadowTT]MuineTawny(9): 233
[18:15:55][ÊÀ½ç]Gemzf(10): ¹ş¹ş
[18:16:7][ÊÀ½ç]Gemzf(10): TMĞ¡Ğ´¾ÍºÜŞÏŞÎ
[18:17:4][ÆµµÀ-8]DONJIsama(8): spin
[18:17:21][ÆµµÀ-8]AssoXD(13): ³ö¹ì
[18:17:34][ÆµµÀ-8]AssoXD(13): spinjiuÀëÆ×
[18:20:33][ÆµµÀ-8][ShadowTT]MuineTawny(9): ¼ÓËÙ»¹µÃÔÙ¿ìÒ»µã
[18:20:38][ÆµµÀ-8]DONJIsama(8): Ë­
[18:20:40][ÆµµÀ-8][ShadowTT]MuineTawny(9): ÎÒ
[18:20:48][ÆµµÀ-8][ShadowTT]MuineTawny(9): ÓĞĞ©ÍäµÀ³öÍäºóÎŞÁ¦
[18:20:50][ÆµµÀ-8]DONJIsama(8): Ë­Â¼ÖÆ
[18:20:54][ÆµµÀ-8][ShadowTT]MuineTawny(9): Ë÷¸çÂ¼
[18:21:5][ÆµµÀ-8]DONJIsama(8): Ë÷¸ç×îºóßÂ
[18:21:9][ÆµµÀ-8]AssoXD(13): ¶Ô
[18:21:10][ÆµµÀ-8]DONJIsama(8): wocÄÇÎÒÖĞ¼ä
[18:21:14][ÆµµÀ-8]DONJIsama(8): ÎÒÑ¹Á¦ºÃ´ó
[18:21:15][ÆµµÀ-8]AssoXD(13): Á·
[18:21:18][ÆµµÀ-8]AssoXD(13): Ã»ÊÂ
[18:21:23][ÆµµÀ-8]AssoXD(13): È¥´óÊÀ½ç°ÉÒª²»hhh
[18:21:28][ÆµµÀ-8]DONJIsama(8): ´óÊÀ½çÓĞÈË
[18:21:32][ÆµµÀ-8]AssoXD(13): Å¶
[18:21:35][ÆµµÀ-8]AssoXD(13): ÀÏ´óÊå»á¿¨
[18:21:42][ÆµµÀ-8]DONJIsama(8): Õ¨¸ç·²¸çËûÃÇ¶¼ÔÚ
[18:21:45][ÆµµÀ-8]DONJIsama(8): ¿¨µ¹ÊÇ²»¿¨
[18:21:49][ÆµµÀ-8][ShadowTT]MuineTawny(9): ÎÒÈ¥¸Ä¸Ä¼ÓËÙ
[18:21:50][ÆµµÀ-8]DONJIsama(8): »¹ÓĞÇ¿¸ç
[18:21:59][ÆµµÀ-8]DONJIsama(8): ÈËÌ«¶àÁË»á¶Â
[18:25:59][ÊÀ½ç]AssoXD(11): µôÏßÁË
[18:27:9][ÊÀ½ç]DONJIsama(8): Íæ****ÀÕ±Æ
[18:27:19][ÊÀ½ç]AssoXD(11): hhh
[18:28:31][ÊÀ½ç][ShadowTT]MuineTawny(9): Õâ¸öËÙ¶È¿ÉÒÔÁË
[18:28:34][ÊÀ½ç][ShadowTT]MuineTawny(9): 145
[18:28:35][ÊÀ½ç]AssoXD(11): àÅ
[18:29:3][ÊÀ½ç]DONJIsama(8): ÏÖÔÚÓĞ¸öÎÊÌâ
[18:29:18][ÊÀ½ç]DONJIsama(8): ³öÍäÖ®ºóÎÒºÍÀÏd¾Í»áÀ­¿ª¾àÀë
[18:29:24][ÊÀ½ç][ShadowTT]MuineTawny(9): emmm
[18:29:30][ÊÀ½ç][ShadowTT]MuineTawny(9): ÉÔÎ¢¸Ä±äÒ»ÏÂÂ·Ïß°É
[18:29:45][ÊÀ½ç]DONJIsama(8): ÔõÃ´¸ö¸Ã·¨
[18:29:54][ÊÀ½ç][ShadowTT]MuineTawny(9): ¼õĞ¡½Ç¶È
[18:29:56][ÊÀ½ç][ShadowTT]MuineTawny(9): ÎÒ¾ÍÊÇÕâÑù
[18:30:4][ÊÀ½ç]AssoXD(11): Ë­¿ìÁË
[18:30:13][ÊÀ½ç]DONJIsama(8): ÄÇÎÒÊÕ×Åµã
[18:30:13][ÊÀ½ç][ShadowTT]MuineTawny(9): ÎÒµ÷µÄ±ÈÔ­À´¿ìÁËÒ»Ğ©
[18:30:18][ÊÀ½ç]AssoXD(11): áÜØ¡
[18:30:20][ÊÀ½ç]DONJIsama(8): Ô­À´Ò²Ò»Ñù
[18:30:22][ÊÀ½ç]DONJIsama(8): À´
[18:34:30][ÊÀ½ç][ShadowTT]MuineTawny(9): Ü³
[18:35:2][ÊÀ½ç][ShadowTT]MuineTawny(9): ÓĞÊ±ºò½Ç¶È´òÁË
[18:35:9][ÊÀ½ç]DONJIsama(8): ÀÏd£¬Äã¿´×ÅµãĞ¡µØÍ¼
[18:35:9][ÊÀ½ç][ShadowTT]MuineTawny(9): ÓĞÊ±ºò½Ç¶È´óÁËÊÕ²»»ØÀ´
[18:35:19][ÊÀ½ç]DONJIsama(8): Èç¹û¾õµÃÔÛÁ©Ô¶ÁËÄã¾ÍÂ§Â§ÊÖÉ²
[18:35:20][ÊÀ½ç]AssoXD(11): ÄÇ¾Í¿ØºÃ½Ç¶È
[18:35:21][ÊÀ½ç][ShadowTT]MuineTawny(9): 65µÄ³µÍ·Ëø
[18:35:25][ÊÀ½ç]DONJIsama(8): ÎÒ64
[18:35:27][ÊÀ½ç][ShadowTT]MuineTawny(9): àÅ
[18:35:27][ÊÀ½ç]AssoXD(11): ÎÒ60
[18:35:32][ÊÀ½ç][ShadowTT]MuineTawny(9): Ü³
[18:35:34][ÊÀ½ç][ShadowTT]MuineTawny(9): ÄÇÎÒµÃ¸Ä¸Ä
[18:35:43][ÊÀ½ç]DONJIsama(8): ÕâÆÆ³µ60ÊÕ²»×¡
[18:35:53][ÊÀ½ç]DONJIsama(8): ÎÒµÄ551ÄÜ
[18:36:31][ÊÀ½ç]Gemzf(10): ÅâÇ®ÀÕ
[18:37:25][ÊÀ½ç]DONJIsama(8): 114514¿é
