[8:8:46][频道-6666][Shadows]F_Hawk(9): 来偷学don神跑法         
[8:8:51][世界][R_ST]DONJI(8): 别         
[8:8:57][世界][R_ST]DONJI(8): 我这跑法很水的         
[8:9:10][世界][R_ST]DONJI(8): 来一起         
[8:11:16][频道-6666][R_ST]DONJI(8): 鼠标失灵了         
[8:13:3][世界][R_ST]DONJI(8): 强神nb         
[8:13:5][世界][R_ST]DONJI(8): 太稳了         
[8:13:12][世界][Shadows]F_Hawk(9): don神nb         
[8:13:30][世界][R_ST]DONJI(8): 上坡那几个弯完全能甩开我         
[8:13:47][世界][R_ST]DONJI(8): 还来不         
[8:13:51][世界][Shadows]F_Hawk(9): 其他的弯完全被你甩开         
[8:14:12][频道-6666][R_ST]DONJI(8): c         
[8:14:35][世界][R_ST]DONJI(8): 没吃到点         
[8:14:39][世界][R_ST]DONJI(8): 重开一把         
[8:15:5][频道-6666][R_ST]DONJI(8): 有没迟到         
[8:15:7][频道-6666][R_ST]DONJI(8): **了         
[8:18:20][世界][Shadows]F_Hawk(9): 太强了 完全跟不上don神         
[8:18:37][世界][R_ST]DONJI(8): 不行         
[8:18:38][世界][R_ST]DONJI(8): 我这跑法         
[8:18:49][世界][R_ST]DONJI(8): 很水         
[8:18:52][世界][R_ST]DONJI(8): 很容易失误         
[8:19:7][世界][R_ST]DONJI(8): 还来吗         
[8:19:24][世界][Shadows]F_Hawk(9): 不来了         
[8:19:34][世界][R_ST]DONJI(8): 那我自己ta         
[8:36:47][世界][R_ST]DONJI(8): 累了          
[8:36:51][世界][R_ST]DONJI(8): 疯狂失误         
[8:37:0][世界][R_ST]DONJI(8): 我下了         
[8:37:2][世界][R_ST]DONJI(8): 886         
[12:17:23][世界]ASKKKK(9): 来啦来啦         
[12:17:44][世界]Stnzzd5(8): 不行了         
[12:17:48][世界]Stnzzd5(8): 虚了         
[12:18:5][世界]Stnzzd5(8): 刚刚差一点138 最后一个检查点失误了... 搞了个139.322         
[12:18:36][世界]Stnzzd5(8): xianz         
[12:18:41][世界]ASKKKK(9): haha牛逼啊         
[12:18:41][世界]Stnzzd5(8): 现在你干啥         
[12:18:45][世界]ASKKKK(9): 我这些140都跑不进         
[12:18:50][世界]ASKKKK(9): 现在瞎玩         
[12:18:54][频道-6666]Stnzzd5(8): 你不是跑过140了吗= =         
[12:19:1][频道-6666]Stnzzd5(8): BLUEwangji1guanle         
[12:19:2][频道-6666]ASKKKK(9): 运气         
[12:19:7][频道-6666]Stnzzd5(8): BLUE忘记关了         
